genus	D1T0	D1T1A	D1T1B	D1T1C	D1T2A	D1T2B	D1T2C	D1T3A	D1T3B	D1T3C	D1T4A	D1T4B	D1T4C	D1T5A	D1T5B	D1T5C	D1T6A	D1T6B	D1T6C	D2T0	D2T1A	D2T1B	D2T1C	D2T2A	D2T2B	D2T2C	D2T3A	D2T3B	D2T3C	D2T4A	D2T4B	D2T4C	D2T5A	D2T5B	D2T5C	D2T6A	D2T6B	D2T6C	D3T0	D3T1A	D3T1B	D3T1C	D3T2A	D3T2B	D3T2C	D3T3A	D3T3B	D3T3C	D3T4A	D3T4B	D3T4C	D3T5A	D3T5B	D3T5C	D3T6A	D3T6B	D3T6C	D4T0	D4T1A	D4T1B	D4T1C	D4T2A	D4T2B	D4T2C	D4T3A	D4T3B	D4T3C	D4T4A	D4T4B	D4T4C	D4T5A	D4T5B	D4T5C	D4T6A	D4T6B	D4T6C
g__norank_f__Paracaedibacteraceae	0	7	0	0	46	0	0	18	0	0	82	0	0	637	35	0	729	98	0	0	6	0	0	1	0	0	0	0	0	18	4	0	126	24	0	100	16	0	0	0	0	0	14	0	0	0	0	0	46	0	0	585	5	0	450	17	0	0	8	0	0	22	0	0	18	0	0	110	0	0	717	33	0	234	54	0
g__Reyranella	0	73	0	0	113	3	0	66	29	0	50	21	0	118	0	0	340	5	0	0	3	0	0	3	0	0	5	0	0	19	0	0	2	5	0	47	5	0	0	29	0	0	63	0	0	51	0	0	55	0	0	82	0	0	293	38	0	0	114	0	0	161	75	0	142	26	0	72	17	0	150	0	0	229	1	0
g__Erythrobacter	0	48	0	0	191	0	0	121	0	0	211	0	0	205	27	0	684	8	0	0	6	0	0	1	0	0	6	0	0	66	3	0	46	2	0	92	2	0	0	19	0	0	20	0	0	0	0	0	133	0	0	304	23	15	499	31	0	0	92	0	0	270	0	0	235	0	0	301	0	0	458	18	0	295	4	0
g__Rhizorhabdus	19	25	9	0	8	14	13	35	23	0	57	0	0	41	0	3	404	18	0	0	0	0	0	9	0	0	0	0	0	2	0	0	31	0	1	36	2	0	6	0	0	0	22	0	0	0	0	0	8	5	0	53	15	0	372	61	1	0	21	0	0	108	0	0	70	34	0	79	0	0	85	0	3	219	26	0
g__Sphingobium	0	43	8	16	251	0	32	313	21	12	2538	216	27	1911	148	47	1852	106	0	0	2	0	1	7	0	1	26	2	6	425	18	15	336	68	49	204	29	0	5	21	0	5	75	19	0	164	0	0	1300	65	0	1263	92	0	1227	109	0	285	185	0	0	649	0	0	732	38	0	3356	362	31	2742	282	0	831	100	1
g__Sphingorhabdus	2	9	0	0	57	0	0	14	7	0	132	0	3	129	3	0	120	30	0	0	0	0	0	1	0	0	0	0	0	11	0	0	25	6	0	38	0	0	0	0	0	0	21	0	0	11	0	0	38	43	0	85	16	0	62	7	0	0	0	0	0	16	0	0	35	0	0	124	0	0	131	20	0	58	35	0
g__Azohydromonas	0	1530	114	0	2863	234	23	1353	110	0	464	130	19	257	84	0	154	18	0	0	95	0	0	72	8	0	83	22	0	105	7	4	60	2	0	21	1	0	0	525	8	0	435	63	0	710	1	0	210	12	0	121	16	0	47	8	0	0	1786	17	0	2414	66	0	1261	34	0	176	70	0	126	0	3	24	18	5
g__Methyloversatilis	0	98	0	0	474	50	0	881	0	1	15542	1178	0	17924	1696	0	12885	988	29	0	15	0	0	7	0	0	43	4	0	3098	124	0	3069	561	0	1589	341	0	0	79	5	0	114	0	0	657	8	0	10384	1057	0	13093	1200	0	8980	726	0	0	254	0	0	718	0	0	2170	0	0	16270	1421	137	18068	1763	0	4671	791	0
g__Halomonas	5309	4900	8237	7763	4755	6250	8088	2308	8751	6605	811	7645	6728	1034	5784	4995	301	1205	1205	338	1356	312	1802	682	494	1000	753	1414	3691	843	682	1881	709	1185	1244	141	351	749	5599	5054	2213	6465	3286	5614	6047	4432	5085	4450	2367	5718	6893	1974	4703	7761	683	943	784	5288	3680	8042	5775	1546	7745	5145	1232	9306	4340	479	8939	8052	414	7423	3431	27	1300	974
g__Pseudomonas	1775	1277	2165	2038	1066	1817	2478	641	2345	1697	234	1733	1893	298	1389	1478	27	182	58	96	362	129	521	168	167	294	157	396	1331	279	210	434	199	344	399	25	29	29	2078	1283	541	1543	1005	1650	1568	988	1095	1227	721	1301	2234	569	1227	2049	28	20	34	1283	1198	2377	1498	516	2357	1495	291	2324	1193	113	1860	2734	83	1694	963	2	116	63
g__unclassified_c__Gammaproteobacteria	0	0	0	0	0	0	0	31	0	0	90	3	0	290	87	0	242	19	0	0	0	0	0	0	0	0	2	0	0	12	0	0	40	28	0	40	18	0	0	0	0	0	0	0	0	17	0	0	91	31	0	80	38	0	183	39	0	0	19	0	0	27	0	0	34	0	0	164	33	0	216	0	9	90	2	0
